news╧;word╧;word;value
0;1;о╡дк╡рй╡б;0.1380211241711606
0;2;яйнпхярюкхяэ;0.1380211241711606
0;3;опнцпюлнч;0.1380211241711606
0;4;рхяъвю;0.0690105620855803
0;5;бюйжхмюж╡ч;0.0690105620855803
;;;
1;1;якнбем╡ъ;0.06273687462325482
1;2;яйюясбюкю;0.06273687462325482
1;3;йнпнмюб╡псяс;0.06273687462325482
1;4;йеп╡бмхжрбн;0.06273687462325482
1;5;якнбем╡╞;0.06273687462325482
;;;
2;1;╡гпю╞к╡;0.053085047758138694
2;2;бекхвегмс;0.053085047758138694
2;3;нл╡йпнмнл;0.053085047758138694
2;4;яйюясбюкх;0.053085047758138694
2;5;йюпюмрхмм╡;0.053085047758138694
;;;
3;1;а╡дмху;0.11501760347596715
3;2;йпю╞мюу;0.11501760347596715
3;3;л╡кэъпдх;0.11501760347596715
3;4;анпнрэас;0.057508801737983575
3;5;оюмдел╡╙ч;0.057508801737983575
;;;
4;1;аепегмъ;0.08904588656203909
4;2;мнб╡;0.08904588656203909
4;3;онднпнф╡;0.08904588656203909
4;4;йпю╞м;0.06962459651920161
4;5;меясрр╙бху;0.04452294328101954
;;;
5;1;смм;0.07886921381209176
5;2;я╡леимху;0.061667499774149995
5;3;к╡йюп╡б;0.061667499774149995
5;4;гаюцюрхкхяъ;0.03943460690604588
5;5;й╡пнбнцпюдыхм╡;0.03943460690604588
;;;
6;1;онйпюыс╙рэяъ;0.10617009551627739
6;2;няб╡рм╡и;0.10617009551627739
6;3;опнжея;0.10617009551627739
6;4;няб╡рх;0.10617009551627739
6;5;о╡дйнмрпнкэм╡и;0.10617009551627739
;;;
7;1;гмювме;0.08626320260697537
7;2;п╡гйн;0.08626320260697537
7;3;она╡кэьюкн;0.08626320260697537
7;4;╡мт╡йнбюмху;0.08626320260697537
7;5;йх╙б╡;0.08626320260697537
;;;
8;1;тпхярюикс;0.043131601303487685
8;2;бхярсохрэ;0.043131601303487685
8;3;б╡дпюгс;0.043131601303487685
8;4;тпхярюик╡ярх;0.043131601303487685
8;5;длхрпн;0.043131601303487685
;;;
9;1;гюубнп╡кю;0.06273687462325482
9;2;нк╡ло╡ияэйю;0.06273687462325482
9;3;вело╡нмйю;0.06273687462325482
9;4;оей╡мю;0.06273687462325482
9;5;репл╡мнбн;0.06273687462325482
;;;
10;1;п╡гмнлс;0.07264269693218978
10;2;пнгонб╡б;0.07264269693218978
10;3;бюфкхбс;0.07264269693218978
10;4;б╡дл╡мм╡ярэ;0.07264269693218978
10;5;йнпнмюб╡псям╡и;0.07264269693218978
;;;
11;1;юмрха╡нрхйх;0.07264269693218978
11;2;онъямхкх;0.07264269693218978
11;3;к╡йсбюммъ;0.07264269693218978
11;4;днонлнфе;0.07264269693218978
11;5;п╡ьеммъ;0.07264269693218978
;;;
12;1;пнгпюусмйнбху;0.03833920115865572
12;2;ноепюж╡и;0.03833920115865572
12;3;днб╡дйю;0.03833920115865572
12;4;пе╙ярпюж╡ъ;0.03833920115865572
12;5;б╡дясрм╡ярэ;0.028754400868991788
;;;
13;1;оепеасбючрэ;0.11501760347596715
13;2;оей╡м╡;0.057508801737983575
13;3;яонпрялемх;0.057508801737983575
13;4;╡гнкъж╡╞;0.057508801737983575
13;5;онгхрхбмнцн;0.057508801737983575
;;;
14;1;ф╡мнвю;0.10223786975641524
14;2;брпюрхкю;0.10223786975641524
14;3;сйпю╞мх;0.057640833361751374
14;4;нк╡ло╡юдю;0.05111893487820762
14;5;га╡пмю;0.05111893487820762
;;;
15;1;уюпйнб╡;0.08626320260697537
15;2;гют╡йясбюкх;0.08626320260697537
15;3;мюибхыс;0.08626320260697537
15;4;бднлю;0.08626320260697537
15;5;га╡кэьхкняъ;0.08626320260697537
;;;
16;1;яхлорнлюлх;0.08626320260697537
16;2;цпхос;0.08626320260697537
16;3;цпб╡;0.08626320260697537
16;4;днгбнкхкх;0.08626320260697537
16;5;нтнплкчбюрх;0.08626320260697537
;;;
17;1;реярх;0.07708437471768749
17;2;оепеа╡ц;0.07708437471768749
17;3;убнпнах;0.06450642764228168
17;4;пнгпнахкх;0.04929325863255735
17;5;ндмнвюямн;0.04929325863255735
;;;
18;1;к╡йсбюмм╡;0.16237779314254186
18;2;гд╡иямемн;0.08118889657127093
18;3;опнпхб;0.08118889657127093
18;4;опеоюпюр;0.08118889657127093
18;5;йнпеияэйн╞;0.08118889657127093
;;;
19;1;ъй═опюбхкэмн;0.05111893487820762
19;2;к╡йсбюрх;0.05111893487820762
19;3;смхймсрх;0.05111893487820762
19;4;сяйкюдмемэ;0.05111893487820762
19;5;як╡д;0.05111893487820762
;;;
20;1;йхрюи;0.06273687462325482
20;2;гюъбхб;0.06273687462325482
20;3;вепцнбю;0.06273687462325482
20;4;бюйжхмю;0.06273687462325482
20;5;гюухыю╙;0.06273687462325482
;;;
21;1;бхоюдй╡б;0.016983459829801744
21;2;мюяекеммъ;0.01643108621085245
21;3;мнбху;0.014988628417328122
21;4;рхфмъ;0.013692571842377042
21;5;бюйжхмюж╡╞;0.013692571842377042
;;;
22;1;ыеокемэ;0.06744882787797656
22;2;д╡реи;0.043131601303487685
22;3;лнкндье;0.043131601303487685
22;4;асярепмю;0.043131601303487685
22;5;днгю;0.043131601303487685
;;;
23;1;ярпюусбюммъ;0.030671360926924577
23;2;бхпнамхжрб╡;0.030671360926924577
23;3;пндхм;0.030671360926924577
23;4;пюг╡;0.023981805467725
23;5;тнмд;0.020447573951283052
;;;
